Date,RELIANCE Open,RELIANCE High,RELIANCE Low,RELIANCE Close,RELIANCE Adj Close,RELIANCE Volume,DMART Open,DMART High,DMART Low,DMART Close,DMART Close,DMART Volume,,,,,,,,,,DROPDOWN,,Date,DMART High,RELIANCE High
9/29/2022,2360,2367.5,2313,2325.300049,2325.300049,6771046,4365,4416.950195,4220.100098,4240.549805,4240.549805,518364,,,,,,,,,,,,9/29/2022,4416.950195,2367.5
9/30/2022,2311,2402,2311,2377.75,2377.75,8589908,4270,4400,4251.200195,4386.549805,4386.549805,352698,,,,,,,,,,,,9/30/2022,4400,2402
10/3/2022,2391.5,2416.949951,2363,2369.5,2369.5,5470030,4399,4465.850098,4389.799805,4443.75,4443.75,296102,,,,,,,,,,,,10/3/2022,4465.850098,2416.949951
10/4/2022,2397.800049,2418,2390.149902,2413.199951,2413.199951,4129893,4600,4600,4460.549805,4479.549805,4479.549805,605857,,,,,,,,,,,,10/4/2022,4600,2418
10/6/2022,2429,2450,2418.149902,2422.100098,2422.100098,6162021,4540,4540,4400,4413.850098,4413.850098,326251,,,,,,,,,,,,10/6/2022,4540,2450
10/7/2022,2414.649902,2443.899902,2414.649902,2432.350098,2432.350098,3560167,4435.950195,4482,4411.25,4471.450195,4471.450195,213203,,,,,,,,,,,,10/7/2022,4482,2443.899902
10/10/2022,2405,2417.600098,2388,2405.800049,2405.800049,2921076,4440.100098,4495,4406.049805,4471.75,4471.75,183914,,,,,,,,,,,,10/10/2022,4495,2417.600098
10/11/2022,2414,2414,2351.100098,2357.899902,2357.899902,4252803,4485,4486,4358.5,4381.100098,4381.100098,268072,,,,,,,,,,,,10/11/2022,4486,2414
10/12/2022,2352,2381.699951,2343.100098,2375.25,2375.25,3422992,4398.75,4429,4330,4352.899902,4352.899902,207335,,,,,,,,,,,,10/12/2022,4429,2381.699951
10/13/2022,2371.399902,2394,2360.100098,2382.800049,2382.800049,3382098,4366,4366,4300.100098,4309.950195,4309.950195,171144,,,,,,,,,,,,10/13/2022,4366,2394
10/14/2022,2415,2416.350098,2369.100098,2370.699951,2370.699951,4202459,4398.5,4399,4291.149902,4306.149902,4306.149902,188039,,,,,,,,,,,,10/14/2022,4399,2416.350098
10/17/2022,2355,2414,2343.600098,2408.75,2408.75,7720595,4283.950195,4307.950195,4140.049805,4153.450195,4153.450195,950223,,,,,,,,,,,,10/17/2022,4307.950195,2414
10/18/2022,2422,2463,2420.149902,2451.25,2451.25,5729899,4188,4189,4110,4139.350098,4139.350098,346218,,,,,,,,,,,,10/18/2022,4189,2463
10/19/2022,2454.5,2527.850098,2441.699951,2493.899902,2493.899902,8882553,4168,4194.100098,4139.350098,4167.850098,4167.850098,266990,,,,,,,,,,,,10/19/2022,4194.100098,2527.850098
10/20/2022,2485,2519,2485,2500.600098,2500.600098,4022919,4155,4233,4140.450195,4226.25,4226.25,292757,,,,,,,,,,,,10/20/2022,4233,2519
10/21/2022,2507.699951,2516.800049,2467,2471.600098,2471.600098,3804352,4244,4249.75,4190.5,4215.549805,4215.549805,184554,,,,,,,,,,,,10/21/2022,4249.75,2516.800049
10/24/2022,2460,2502.5,2455.300049,2479.850098,2479.850098,1555270,4271.899902,4273,4210,4229.950195,4229.950195,71402,,,,,,,,,,,,10/24/2022,4273,2502.5
10/25/2022,2499,2499,2438,2441.550049,2441.550049,5645639,4221,4249.5,4165,4235.600098,4235.600098,160107,,,,,,,,,,,,10/25/2022,4249.5,2499
10/27/2022,2458,2468.449951,2432.800049,2451.149902,2451.149902,5774775,4248,4300,4217.299805,4271.399902,4271.399902,301435,,,,,,,,,,,,10/27/2022,4300,2468.449951
10/28/2022,2465,2535,2459.449951,2526.149902,2526.149902,8126824,4281.399902,4320,4251.549805,4307.350098,4307.350098,120314,,,,,,,,,,,,10/28/2022,4320,2535
10/31/2022,2541,2560.949951,2532.199951,2549.600098,2549.600098,5731802,4316.5,4348,4290,4320.899902,4320.899902,186409,,,,,,,,,,,,10/31/2022,4348,2560.949951
11/1/2022,2600,2600,2508,2529.850098,2529.850098,6443999,4329,4347.100098,4232.549805,4247.5,4247.5,249229,,,,,,,,,,,,11/1/2022,4347.100098,2600
11/2/2022,2532.300049,2550.199951,2515,2545.649902,2545.649902,4145144,4264.799805,4268,4177,4193.649902,4193.649902,254614,,,,,,,,,,,,11/2/2022,4268,2550.199951
